Mes;M3 GN;$;$/M3;kWh;M3 Medido;$Gas medido;kWh Generados;Operación;Mtto;Depreciación;Consumibles;kg;$/kWh med;kWhe/kg;TRM
ene-22; 603.386 ; COP 571.740.646 ; COP 948 ; 939.173 ; 114.377 ; COP 108.378.661,43 ; 1.931.444 ; COP 46.622.970,67 ; COP 72.018.072,24 ; COP 48.970.629,10 ; COP 26.189.106,48 ; 2.005.691 ; COP 340,24 ;0,96;3982,6
feb-22; 834.210 ; COP 769.244.810 ; COP 922 ; 1.014.177 ; 265.324 ; COP 244.661.482,83 ; 2.628.382 ; COP 45.780.558,93 ; COP 84.213.556,42 ; COP 57.263.277,23 ; COP 30.623.949,34 ; 2.826.338 ; COP 282,48 ;0,93;3910,64
mar-22; 1.179.504 ; COP 966.324.396 ; COP 819 ; 1.956.596 ; 462.884 ; COP 379.224.035,05 ; 3.550.491 ; COP 43.878.342,67 ; COP 99.326.246,87 ; COP 67.539.558,39 ; COP 36.119.623,51 ; 4.215.735 ; COP 234,89 ;0,84;3748,15
abr-22; 820.598 ; COP 757.056.479 ; COP 923 ; 1.082.129 ; 130.822 ; COP 120.692.102,30 ; 2.640.669 ; COP 46.431.800,80 ; COP 99.089.654,29 ; COP 67.378.680,89 ; COP 36.033.587,50 ; 2.371.801 ; COP 335,26 ;1,11;3966,27
may-22; 933.508 ; COP 841.217.282 ; COP 901 ; 1.235.033 ; 235.362 ; COP 212.093.177,93 ; 2.886.462 ; COP 45.800.460,27 ; COP 105.300.621,45 ; COP 71.601.995,39 ; COP 38.292.182,81 ; 3.105.985 ; COP 308,38 ;0,93;3912,34
jun-22; 1.160.732 ; COP 1.046.466.927 ; COP 902 ; 1.272.690 ; 232.367 ; COP 209.492.719,24 ; 3.719.353 ; COP 48.318.915,47 ; COP 138.121.563,60 ; COP 93.919.479,53 ; COP 50.227.397,43 ; 4.179.990 ; COP 313,92 ;0,89;4127,47
jul-22; 949.356 ; COP 952.379.842 ; COP 1.003 ; 777.541 ; 210.804 ; COP 211.475.935,28 ; 3.063.831 ; COP 50.342.178,67 ; COP 121.605.908,10 ; COP 82.689.214,48 ; COP 44.221.540,19 ; 2.881.506 ; COP 339,37 ;1,06;4300,3
ago-22; 1.196.088 ; COP 1.149.060.408 ; COP 961 ; 1.597.169 ; 244.857 ; COP 235.229.834,60 ; 3.756.790 ; COP 51.511.206,40 ; COP 154.779.224,43 ; COP 105.246.304,94 ; COP 56.284.894,38 ; 3.970.818 ; COP 341,16 ;0,95;4400,16
sep-22; 1.143.087 ; COP 1.112.403.774 ; COP 973 ; 1.313.354 ; 385.685 ; COP 375.332.474,59 ; 3.587.722 ; COP 53.055.432,80 ; COP 126.934.940,29 ; COP 86.312.833,53 ; COP 46.159.423,10 ; 3.862.000 ; COP 292,53 ;0,93;4532,07
oct-22; 776.058 ; COP 845.897.202 ; COP 1.090 ; 918.852 ; 129.448 ; COP 141.097.534,78 ; 2.576.950 ; COP 56.419.343,47 ; COP 115.237.890,30 ; COP 78.359.109,16 ; COP 41.905.833,99 ; 2.215.937 ; COP 386,78 ;1,16;4819,42
nov-22; 1.025.871 ; COP 1.056.451.327 ; COP 1.030 ; 1.111.447 ; 38.156 ; COP 39.292.973,13 ; 3.315.370 ; COP 56.303.330,40 ; COP 175.667.290,86 ; COP 119.449.708,63 ; COP 63.880.762,73 ; 3.635.222 ; COP 432,07 ;0,91;4809,51
dic-22; 631.556 ; COP 749.813.121 ; COP 1.187 ; 619.136 ; 28.176 ; COP 33.452.164,42 ; 2.044.244 ; COP 56.311.408,00 ; COP 89.439.809,68 ; COP 60.817.008,99 ; COP 32.524.457,08 ; 1.765.851 ; COP 467,39 ;1,16;4810,2
